Jurisdiction,HHS Region,Doses allocated week of 12/21,Second Dose Shipment (28 days later) week of 12/21,Doses allocated week of 12/28,Second Dose Shipment (28 days later) week of 12/28,Doses allocated for distribution week of 01/04,Second dose shipment for distribution (28 days later) week of 01/04,Doses allocated for distribution week of 01/10,Second dose shipment for distribution (28 days later) week of 01/10,Doses allocated for distribution week of 01/18,Second dose shipment for distribution (28 days later) week of 01/18,Doses allocated for distribution week of 01/25,Second dose shipment for distribution (28 days later) week of 01/25,Doses allocated for distribution week of 02/01,Second dose shipment for distribution (28 days later) week of 02/01,Doses allocated for distribution week of 02/08,Second dose shipment for distribution (28 days later) week of 02/08,Doses allocated for distribution week of 02/15,Second dose shipment for distribution (28 days later) week of 02/15,Doses allocated for distribution week of 02/22,Second dose shipment for distribution (28 days later) week of 02/22,"Total Moderna Allocation ""First Dose"" Shipments","Total Allocation Moderna""Second Dose"" Shipments"
Connecticut,Region 1,"63,300","63,300","21,900","21,900","21,800","21,800","21,900","21,900","23,000","23,000","23,000","23,000","30,300","30,300","33,100","33,100","35,800","35,800","35,800","35,800","309,900","309,900"
Maine,Region 1,"24,200","24,200","8,400","8,400","8,300","8,300","8,400","8,400","8,800","8,800","8,800","8,800","11,600","11,600","12,700","12,700","13,700","13,700","13,700","13,700","118,600","118,600"
Massachusetts,Region 1,"121,900","121,900","42,100","42,100","42,000","42,000","42,100","42,100","44,300","44,300","44,300","44,300","58,400","58,400","63,800","63,800","69,000","69,000","69,000","69,000","596,900","596,900"
New Hampshire,Region 1,"24,200","24,200","8,400","8,400","8,400","8,400","8,400","8,400","8,800","8,800","8,800","8,800","11,600","11,600","12,700","12,700","13,700","13,700","13,700","13,700","118,700","118,700"
Rhode Island,Region 1,"19,000","19,000","6,600","6,600","6,600","6,600","6,600","6,600","6,900","6,900","6,900","6,900","9,100","9,100","10,000","10,000","10,800","10,800","10,800","10,800","93,300","93,300"
Vermont,Region 1,"11,400","11,400","4,000","4,000","3,900","3,900","4,000","4,000","4,200","4,200","4,200","4,200","5,500","5,500","6,000","6,000","6,500","6,500","6,500","6,500","56,200","56,200"
New Jersey,Region 2,"154,500","154,500","53,400","53,400","53,200","53,200","53,400","53,400","56,100","56,100","56,100","56,100","74,000","74,000","80,900","80,900","87,400","87,400","87,400","87,400","756,400","756,400"
New York,Region 2,"196,800","196,800","68,000","68,000","67,700","67,700","68,000","68,000","71,400","71,400","71,400","71,400","94,200","94,200","103,000","103,000","111,300","111,300","111,300","111,300","963,100","963,100"
New York City,Region 2,"149,400","149,400","51,600","51,600","51,400","51,400","51,600","51,600","54,200","54,200","54,200","54,200","71,500","71,500","78,200","78,200","84,500","84,500","84,500","84,500","731,100","731,100"
Puerto Rico,Region 2,"60,400","60,400","20,900","20,900","20,800","20,800","20,900","20,900","21,900","21,900","21,900","21,900","28,900","28,900","31,600","31,600","34,200","34,200","34,200","34,200","295,700","295,700"
U.S. Virgin Islands,Region 2,"1,900","1,900",700,700,700,700,700,700,700,700,700,700,900,900,"1,000","1,000","1,100","1,100","1,100","1,100","9,500","9,500"
Delaware,Region 3,"16,700","16,700","5,800","5,800","5,800","5,800","5,800","5,800","6,100","6,100","6,100","6,100","8,000","8,000","8,800","8,800","9,500","9,500","9,500","9,500","82,100","82,100"
District of Columbia,Region 3,"12,600","12,600","4,400","4,400","4,400","4,400","4,400","4,400","4,600","4,600","4,600","4,600","6,100","6,100","6,600","6,600","7,200","7,200","7,200","7,200","62,100","62,100"
Maryland,Region 3,"104,300","104,300","36,000","36,000","35,900","35,900","36,000","36,000","37,800","37,800","37,800","37,800","49,900","49,900","54,600","54,600","59,000","59,000","59,000","59,000","510,300","510,300"
Pennsylvania,Region 3,"198,800","198,800","68,700","68,700","68,400","68,400","68,700","68,700","72,100","72,100","72,100","72,100","95,200","95,200","104,000","104,000","112,400","112,400","112,400","112,400","972,800","972,800"
Philadelphia,Region 3,"27,600","27,600","9,500","9,500","9,500","9,500","9,500","9,500","10,000","10,000","10,000","10,000","13,200","13,200","14,400","14,400","15,600","15,600","15,600","15,600","134,900","134,900"
Virginia,Region 3,"146,400","146,400","50,600","50,600","50,400","50,400","50,600","50,600","53,100","53,100","53,100","53,100","70,100","70,100","76,600","76,600","82,800","82,800","82,800","82,800","716,500","716,500"
West Virginia,Region 3,"32,600","32,600","11,300","11,300","11,200","11,200","11,300","11,300","11,900","11,900","11,900","11,900","15,600","15,600","17,100","17,100","18,500","18,500","18,500","18,500","159,900","159,900"
Alabama,Region 4,"84,300","84,300","29,100","29,100","29,000","29,000","29,100","29,100","30,600","30,600","30,600","30,600","40,400","40,400","44,100","44,100","47,700","47,700","47,700","47,700","412,600","412,600"
Florida,Region 4,"367,900","367,900","127,100","127,100","126,600","126,600","127,100","127,100","133,500","133,500","133,500","133,500","176,100","176,100","192,500","192,500","208,000","208,000","208,000","208,000","1,800,300","1,800,300"
Georgia,Region 4,"174,400","174,400","60,200","60,200","60,000","60,000","60,200","60,200","63,300","63,300","63,300","63,300","83,500","83,500","91,300","91,300","98,600","98,600","98,600","98,600","853,400","853,400"
Kentucky,Region 4,"76,700","76,700","26,500","26,500","26,400","26,400","26,500","26,500","27,900","27,900","27,900","27,900","36,700","36,700","40,200","40,200","43,400","43,400","43,400","43,400","375,600","375,600"
Mississippi,Region 4,"50,800","50,800","17,600","17,600","17,500","17,500","17,600","17,600","18,500","18,500","18,500","18,500","24,300","24,300","26,600","26,600","28,700","28,700","28,700","28,700","248,800","248,800"
North Carolina,Region 4,"175,900","175,900","60,800","60,800","60,500","60,500","60,800","60,800","63,800","63,800","63,800","63,800","84,200","84,200","92,000","92,000","99,500","99,500","99,500","99,500","860,800","860,800"
South Carolina,Region 4,"86,400","86,400","29,900","29,900","29,700","29,700","29,900","29,900","31,400","31,400","31,400","31,400","41,400","41,400","45,200","45,200","48,800","48,800","48,800","48,800","422,900","422,900"
Tennessee,Region 4,"115,200","115,200","39,800","39,800","39,700","39,700","39,800","39,800","41,800","41,800","41,800","41,800","55,200","55,200","60,300","60,300","65,200","65,200","65,200","65,200","564,000","564,000"
Chicago,Region 5,"46,800","46,800","16,200","16,200","16,100","16,100","16,200","16,200","17,000","17,000","17,000","17,000","22,400","22,400","24,500","24,500","26,500","26,500","26,500","26,500","229,200","229,200"
Illinois,Region 5,"174,600","174,600","60,300","60,300","60,100","60,100","60,300","60,300","63,300","63,300","63,300","63,300","83,600","83,600","91,300","91,300","98,700","98,700","98,700","98,700","854,200","854,200"
Indiana,Region 5,"113,300","113,300","39,200","39,200","39,000","39,000","39,200","39,200","41,100","41,100","41,100","41,100","54,300","54,300","59,300","59,300","64,100","64,100","64,100","64,100","554,700","554,700"
Michigan,Region 5,"173,600","173,600","60,000","60,000","59,800","59,800","60,000","60,000","63,000","63,000","63,000","63,000","83,100","83,100","90,900","90,900","98,200","98,200","98,200","98,200","849,800","849,800"
Minnesota***,Region 5,"94,900","94,900","32,900","32,900","32,700","32,700","32,900","32,900","34,500","34,500","34,500","34,500","45,500","45,500","49,700","49,700","53,800","53,800","53,800","53,800","465,200","465,200"
Ohio,Region 5,"201,900","201,900","69,700","69,700","69,500","69,500","69,700","69,700","73,200","73,200","73,200","73,200","96,600","96,600","105,600","105,600","114,100","114,100","114,100","114,100","987,600","987,600"
Wisconsin***,Region 5,"101,000","101,000","34,900","34,900","34,700","34,700","34,900","34,900","36,700","36,700","36,700","36,700","48,300","48,300","52,900","52,900","57,100","57,100","57,100","57,100","494,300","494,300"
Arkansas,Region 6,"51,100","51,100","17,700","17,700","17,600","17,600","17,700","17,700","18,600","18,600","18,600","18,600","24,500","24,500","26,800","26,800","28,900","28,900","28,900","28,900","250,400","250,400"
