covid_state,cases1,cases2,cases3,cases4,cases5,cases6,cases7,cases8,cases9,cases10,cases11,cases12,casestotal,death1,death2,death3,death4,death5,death6,death7,death8,death9,death10,death11,death12,deathtotal
Alabama,0,0,1063,6124,11013,20277,49789,38234,28272,38841,55911,111702,361226,0,0,23,249,358,320,630,602,358,427,611,1249,4827
Alaska,0,0,129,231,124,658,2574,2457,2672,7510,16221,14410,46986,0,0,3,6,1,4,9,14,19,26,39,85,206
Arizona,1,0,1288,6366,12281,59292,94782,27825,16672,27439,80871,193390,520207,0,0,25,295,587,738,2049,1335,621,329,660,2225,8864
Arkansas,0,0,523,2758,3972,13524,21734,18713,22473,28493,45169,67779,225138,0,0,8,53,72,137,183,344,572,556,577,1174,3676
California,3,9,8221,42479,62207,126805,267482,207366,107619,114064,308697,1080647,2325599,0,0,173,1858,2141,1910,3132,3808,2863,1774,1555,6772,25986
Colorado,0,0,2966,12318,11094,6337,14094,10615,13112,36814,125555,101192,334097,0,0,69,708,668,245,148,107,106,234,752,1777,4814
Connecticut,0,0,3128,24572,14501,4313,3296,3069,4671,13657,46088,68413,185708,0,0,69,2188,1687,378,110,33,43,108,404,975,5995
Delaware,0,0,319,4415,4764,1976,3314,2641,3184,4338,10703,21802,57456,0,0,3,209,285,69,42,9,35,78,81,203,1014
District of Columbia,0,0,495,3828,4478,1526,1799,1866,1334,1940,4286,7431,28983,0,0,9,215,242,85,34,22,20,19,34,106,786
Florida,0,0,6741,26949,22473,96271,317952,153085,83045,96031,196772,323996,1323315,0,0,85,1183,1183,1054,3338,4344,3130,2444,1836,3076,21673
Georgia,0,0,3929,22335,20799,34228,105061,84119,47555,42764,110773,194889,666452,0,0,111,1021,921,752,947,1881,1388,958,1473,1482,10934
Hawaii,0,0,204,414,34,265,1194,6361,4125,2687,2939,3522,21745,0,0,0,16,1,1,8,44,66,83,25,44,288
Idaho,0,0,515,1469,855,3278,14599,11365,9967,22560,37090,39379,141077,0,0,8,52,22,10,96,173,108,160,300,507,1436
Illinois,2,0,5992,46924,67342,22925,36930,56609,58996,120827,309757,237085,963389,0,0,99,2256,3035,1533,769,543,681,1124,2945,4993,17978
Indiana,0,0,2158,15677,16739,11020,20560,28042,25823,59339,159619,172508,511485,0,0,112,1049,952,456,317,377,382,859,1928,2958,9390
Iowa,0,0,497,6648,12407,9522,15679,20386,24108,39263,102121,51081,281712,0,0,7,155,373,181,156,248,238,358,710,1465,3891
Kansas,0,0,434,3979,5287,4670,12992,15217,18543,25723,72852,65515,225212,0,0,9,125,81,58,85,93,227,351,531,1176,2736
Kentucky,0,0,628,4080,4996,5920,14527,18245,20444,38379,71822,86220,265261,0,0,11,229,191,134,170,198,241,311,423,715,2623
Louisiana,0,0,5237,22764,11915,18179,58185,32614,18564,19191,45765,82861,315275,0,0,239,1666,886,430,728,1001,561,408,501,1068,7488
Maine,0,0,303,792,1230,928,659,617,860,1273,5095,12444,24201,0,0,5,48,36,16,18,9,9,6,47,153,347
Maryland,0,0,1660,20082,31036,14781,20787,19903,16476,20556,53089,78292,276662,0,0,18,1122,1392,658,303,262,194,198,494,1254,5895
Massachusetts,1,1,9922,56943,30393,7180,7396,9182,11098,26460,67556,149046,375178,0,0,89,3473,3284,1208,555,451,396,535,757,1675,12423
Michigan,0,0,7951,35527,19233,8017,19846,22451,24989,59392,191536,139679,528621,0,0,292,3699,1740,462,257,303,330,616,1865,3454,13018
Minnesota,0,0,629,4507,19714,11453,18160,21401,23270,49338,170291,96539,415302,0,0,12,331,707,426,164,226,223,422,1141,1730,5382
Mississippi,0,0,937,5878,8708,11724,31500,24203,15240,21970,33110,62541,215811,0,0,20,241,473,339,590,810,496,365,473,980,4787
Missouri,0,0,1674,6416,5465,8566,28970,34782,41072,59439,120484,96991,403859,0,0,19,424,371,205,246,282,522,957,835,1833,5694
Montana,0,0,198,255,62,452,2998,3456,5650,19730,29397,19357,81555,0,0,5,11,1,5,38,44,76,195,306,280,961
Nebraska,0,0,172,4109,9820,5076,7034,8076,11277,25168,57675,38391,166798,0,0,3,67,100,104,58,65,81,174,366,633,1651
Nevada,0,0,1114,3939,3575,9828,29632,21140,10752,20781,51410,72560,224731,0,0,26,217,174,90,323,475,295,177,367,978,3122
New Hampshire,0,0,357,1789,2505,1131,801,692,991,2818,9910,23034,44028,0,0,3,69,173,126,44,17,7,44,43,233,759
New Jersey,0,0,18696,99956,42108,11873,11320,11547,15161,39429,117996,160941,529027,0,0,366,8371,4781,1517,784,126,177,228,643,2049,19042
New Mexico,0,0,315,3096,4278,4458,8453,4752,4083,17055,50605,45769,142864,0,0,4,119,233,141,145,137,98,141,550,909,2477
New York,0,0,75853,232456,65373,22227,22235,19010,24383,50224,144652,322370,978783,0,0,2775,21767,6157,1371,605,282,367,406,895,3358,37983
North Carolina,0,0,1578,9542,18394,37712,58452,47201,37753,64003,89877,175033,539545,0,0,12,394,531,443,562,760,830,846,883,1487,6748
North Dakota,0,0,122,945,1510,999,2893,5347,10030,22070,35336,13243,92495,0,0,3,16,42,18,24,40,103,278,409,366,1299
Ohio,0,0,2199,15828,17486,16276,39370,31996,30832,61710,205366,279317,700380,0,0,55,921,1179,708,626,650,665,497,1128,2533,8962
Oklahoma,0,0,568,3050,2800,7339,22730,22246,28466,35563,74983,93191,290936,0,0,23,199,112,53,154,259,231,306,406,746,2489
Oregon,0,1,689,1820,1733,4413,9836,8221,6796,11412,30510,38478,113909,0,0,18,85,50,54,115,137,100,130,223,565,1477
Pennsylvania,0,0,4963,43008,28158,15010,25648,22008,25304,48692,154044,278555,645390,0,0,63,2412,3080,1094,558,452,471,670,1535,5612,15947
Rhode Island,0,0,488,8133,6307,1885,2209,2927,2799,8126,23849,31226,87949,0,0,11,353,461,155,40,47,47,87,172,404,1777
South Carolina,0,0,1083,5012,5766,24538,52617,29976,28950,28670,40875,90020,307507,0,0,22,222,250,245,973,1008,658,557,446,915,5296
South Dakota,0,0,108,2341,2544,1771,2000,4745,8880,23603,34472,18700,99164,0,0,1,16,45,29,39,37,56,202,521,542,1488
Tennessee,0,0,2391,8344,11831,20943,62450,48974,41206,64533,113821,212309,586802,0,0,23,176,165,240,456,694,700,899,1249,2305,6907
Texas,0,0,3809,25081,35854,98993,276944,195520,141856,164793,348608,481326,1772784,0,0,76,848,942,980,4811,5448,3183,2500,3483,5795,28066
Utah,0,0,888,3784,5125,12420,17979,11911,20935,41614,81050,80906,276612,0,0,5,41,67,59,132,103,52,145,267,398,1269
Vermont,0,0,293,573,115,227,206,210,128,427,1993,3240,7412,0,0,13,36,6,1,1,1,0,0,11,67,136
