Name,Postal Code,Area size,Population size,Population density,Senior Population,Young Population,Male Population,White Population,Africa-American Population,Hispanic population,Internet access,High school degree,Bachelor degrees,Median household income,Poverty rate,Uninsured,Household size,House Owner,hospital,hospital bed,ICU bed,ventilator usage,Nurses,Medical Doctors,Confirmed,Deaths,Recovered,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,deaths_per_population,recovered_per_population,confirmed_per_population,active_per_population,unemp_year_rate
Alabama,AL,135767,4903185,36.11470387,17.4,18.3,48.3,69.5,27.8,4.5,81.9,12.9,16.3,51734,15.5,9.7,2.6,68.8,119,18611,1637,383,85746,43429,361226,4827,202137.0,154262.0,7367.170522833628,1874000.0,1.3362825488752197,38220.05492348341,0.0009844621404250502,0.0412256523055932,0.07367170522833627,0.03146159078231802,6.13
Alaska,AK,1723337,731545,0.42449329399999997,12.4,21.0,52.0,71.4,4.7,7.2,88.0,6.4,18.5,75463,10.1,12.2,2.9,64.7,28,1832,193,41,15487,18418,46986,206,7165.0,39615.0,6422.844801071707,1275750.0,0.4384284680543141,174391.1857780451,0.0002815958006684483,0.009794339377618602,0.06422844801071705,0.05415251283242999,8.32
Arizona,AZ,295234,7278717,24.65406085,18.0,18.7,49.7,81.7,6.0,31.7,87.4,12.4,18.8,62055,13.5,11.3,2.71,65.3,125,18388,1882,427,93928,84130,520207,8864,75981.0,435362.0,7146.960102996173,2834752.0,1.7039370865828412,38945.76475496987,0.0012177970375823102,0.010438790242840874,0.07146960102996174,0.059813013749538554,7.83
Arkansas,AR,137732,3017804,21.91069613,17.4,19.2,48.9,79.3,16.7,7.7,80.1,12.5,15.1,48952,16.2,9.1,2.59,65.5,105,12473,914,261,42487,47343,225138,3676,199247.0,22215.0,7460.325455198548,2051488.0,1.6327763416215832,67979.49767446793,0.001218104290404546,0.0660238372008255,0.07460325455198548,0.007361313060755437,6.58
California,CA,423967,39512223,93.19645869,14.8,18.7,49.7,63.6,7.0,39.4,90.0,16.0,21.9,80440,11.8,7.7,3.02,54.9,461,80893,8652,1986,444964,588052,2325599,25986,34503.0,2265110.0,5798.223501623788,32855482.0,1.1303762930449361,83152.70441756719,0.0006576699063477143,0.0008732234579664121,0.05885771094175086,0.05732681757743673,10.24
Colorado,CO,269601,5758736,21.36021751,14.7,18.1,50.4,87.3,5.4,21.8,91.2,7.6,26.6,77127,9.3,8.0,2.63,65.9,113,13929,1363,270,77705,97396,334097,4814,17971.0,311312.0,5801.568260812789,4406667.0,1.4408989006186823,76521.42761883857,0.0008359473328869391,0.0031206500871024476,0.058015682608127894,0.05405908518813851,7.08
Connecticut,CT,14357,3565287,248.33091869999998,17.6,16.6,48.9,77.8,13.2,16.9,88.8,9.3,22.0,78833,10.0,5.9,2.65,65.0,46,8123,966,193,67924,58009,185708,5995,9800.0,169913.0,5208.781228551867,4320693.0,3.2281861847631768,121187.80339422885,0.0016814915601464904,0.002748726820589759,0.05208781228551867,0.04765759390478242,7.27
Delaware,DE,6446,973764,151.06484640000002,19.5,17.4,48.3,70.5,24.4,9.6,88.9,9.7,19.5,70176,11.3,6.6,2.57,70.3,16,3125,264,105,18674,14242,57456,1014,18763.0,37679.0,5900.402972383452,978204.0,1.6116680590364798,100455.9626357105,0.0010413200734469543,0.01926852913026154,0.05900402972383452,0.03869418052012603,7.94
District of Columbia,DC,177,705749,3987.282486,12.4,15.9,47.4,45.1,47.2,11.3,87.5,8.1,25.7,92266,13.5,3.5,2.54,41.5,14,4262,407,103,27575,28703,28983,786,20770.0,7427.0,4106.700824230711,897439.0,2.7119345823413727,127161.21453944675,0.0011137103984561083,0.029429726432485204,0.04106700824230711,0.010523571411365798,8.33
Florida,FL,170312,21477737,126.10818379999999,20.9,16.4,48.9,77.1,17.6,26.4,87.0,11.6,19.3,59227,12.7,13.2,2.67,66.2,271,62201,6231,1491,316557,283486,1323315,21673,0.0,1301642.0,6161.3334775446765,15703599.0,1.6377808760574768,73115.70581202293,0.0010090914140535384,0.0,0.06161333477544678,0.060604243361393244,7.71
