covid_state,cases1,cases2,cases3,cases4,cases5,cases6,cases7,cases8,cases9,cases10,cases11,cases12,casestotal,death1,death2,death3,death4,death5,death6,death7,death8,death9,death10,death11,death12,deathtotal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,unemp_year_rate
Alabama,0.0,0.0,1063.0,6124.0,11013.0,20277.0,49789.0,38234.0,28272.0,38841.0,55911.0,111702.0,361226.0,0.0,0.0,23.0,249.0,358.0,320.0,630.0,602.0,358.0,427.0,611.0,1249.0,4827.0,2.7,2.7,3.0,13.8,9.6,7.6,7.9,5.6,6.7,5.7,4.4,3.9,6.13
Alaska,0.0,0.0,129.0,231.0,124.0,658.0,2574.0,2457.0,2672.0,7510.0,16221.0,14410.0,46986.0,0.0,0.0,3.0,6.0,1.0,4.0,9.0,14.0,19.0,26.0,39.0,85.0,206.0,6.0,5.8,5.2,13.5,12.7,12.4,11.6,7.4,7.2,5.9,6.3,5.8,8.32
Arizona,1.0,0.0,1288.0,6366.0,12281.0,59292.0,94782.0,27825.0,16672.0,27439.0,80871.0,193390.0,520207.0,0.0,0.0,25.0,295.0,587.0,738.0,2049.0,1335.0,621.0,329.0,660.0,2225.0,8864.0,4.5,4.5,6.1,13.4,9.0,10.0,10.7,5.9,6.5,7.9,8.0,7.5,7.83
Arkansas,0.0,0.0,523.0,2758.0,3972.0,13524.0,21734.0,18713.0,22473.0,28493.0,45169.0,67779.0,225138.0,0.0,0.0,8.0,53.0,72.0,137.0,183.0,344.0,572.0,556.0,577.0,1174.0,3676.0,3.5,3.5,5.0,10.8,9.6,8.1,7.1,7.4,7.2,6.2,6.3,4.2,6.58
California,3.0,9.0,8221.0,42479.0,62207.0,126805.0,267482.0,207366.0,107619.0,114064.0,308697.0,1080647.0,2325599.0,0.0,0.0,173.0,1858.0,2141.0,1910.0,3132.0,3808.0,2863.0,1774.0,1555.0,6772.0,25986.0,3.9,3.9,5.5,16.4,16.4,14.9,13.5,11.2,11.1,9.0,8.1,9.0,10.24
Colorado,0.0,0.0,2966.0,12318.0,11094.0,6337.0,14094.0,10615.0,13112.0,36814.0,125555.0,101192.0,334097.0,0.0,0.0,69.0,708.0,668.0,245.0,148.0,107.0,106.0,234.0,752.0,1777.0,4814.0,2.5,2.5,5.2,12.2,10.2,10.6,7.4,6.7,6.4,6.4,6.4,8.4,7.08
Connecticut,0.0,0.0,3128.0,24572.0,14501.0,4313.0,3296.0,3069.0,4671.0,13657.0,46088.0,68413.0,185708.0,0.0,0.0,69.0,2188.0,1687.0,378.0,110.0,33.0,43.0,108.0,404.0,975.0,5995.0,3.7,3.8,3.4,8.3,9.6,10.1,10.2,8.1,7.7,6.1,8.2,8.0,7.27
Delaware,0.0,0.0,319.0,4415.0,4764.0,1976.0,3314.0,2641.0,3184.0,4338.0,10703.0,21802.0,57456.0,0.0,0.0,3.0,209.0,285.0,69.0,42.0,9.0,35.0,78.0,81.0,203.0,1014.0,5.2,5.1,6.0,11.7,8.8,8.7,8.5,8.6,9.0,8.3,7.5,7.9,7.94
District of Columbia,0.0,0.0,495.0,3828.0,4478.0,1526.0,1799.0,1866.0,1334.0,1940.0,4286.0,7431.0,28983.0,0.0,0.0,9.0,215.0,242.0,85.0,34.0,22.0,20.0,19.0,34.0,106.0,786.0,4.0,3.9,5.0,14.9,15.9,12.6,10.5,8.9,8.3,5.6,5.1,5.3,8.33
Florida,0.0,0.0,6741.0,26949.0,22473.0,96271.0,317952.0,153085.0,83045.0,96031.0,196772.0,323996.0,1323315.0,0.0,0.0,85.0,1183.0,1183.0,1054.0,3338.0,4344.0,3130.0,2444.0,1836.0,3076.0,21673.0,2.8,2.8,4.4,13.8,13.7,10.3,11.4,7.3,7.2,6.4,6.3,6.1,7.71
